nft_id,trade_price,floor_price,Accessories,Background,Body,Eyes,Hat,Mouth,Accessories_Background_freq,Accessories_Body_freq,Accessories_Eyes_freq,Accessories_Hat_freq,Accessories_Mouth_freq,Background_Body_freq,Background_Eyes_freq,Background_Hat_freq,Background_Mouth_freq,Body_Eyes_freq,Body_Hat_freq,Body_Mouth_freq,Eyes_Hat_freq,Eyes_Mouth_freq,Hat_Mouth_freq,Mouth_freq,Accessories_freq,Background_freq,Body_freq,Eyes_freq,Hat_freq
129,7.83,7.83,Tie,Stormcloud Grey,Tan - Overweight,White Shades,Elvis,Sad,0.0133,0.004,0.0087,0.004,0.0087,0.0127,0.02,0.01,0.016,0.0153,0.0053,0.0127,0.0113,0.0147,0.008,0.118,0.0627,0.1187,0.0727,0.148,0.07
982,11.41,7.83,nan,Forest Moss Green,Black,Drowsy Cyclop,Cowboy,Happy,0.0467,0.0873,0.0033,0.0253,0.0967,0.032,0.002,0.006,0.0267,0.002,0.0133,0.0613,0.0007,0.004,0.0127,0.226,0.4247,0.1247,0.2333,0.01,0.058
982,10.28,7.59,nan,Forest Moss Green,Black,Drowsy Cyclop,Cowboy,Happy,0.0467,0.0873,0.0033,0.0253,0.0967,0.032,0.002,0.006,0.0267,0.002,0.0133,0.0613,0.0007,0.004,0.0127,0.226,0.4247,0.1247,0.2333,0.01,0.058
982,7.33,4.43,nan,Forest Moss Green,Black,Drowsy Cyclop,Cowboy,Happy,0.0467,0.0873,0.0033,0.0253,0.0967,0.032,0.002,0.006,0.0267,0.002,0.0133,0.0613,0.0007,0.004,0.0127,0.226,0.4247,0.1247,0.2333,0.01,0.058
1134,10.2,7.83,Scarf,"Red, White, and Blue",Blue,Eye Patch,Headband,Surprised,0.0027,0.006,0.01,0.0113,0.0133,0.0007,0.0007,0.0013,0.0013,0.0053,0.004,0.0087,0.0047,0.0093,0.0053,0.1187,0.1393,0.01,0.0633,0.08,0.0447
1134,2.27,1.5,Scarf,"Red, White, and Blue",Blue,Eye Patch,Headband,Surprised,0.0027,0.006,0.01,0.0113,0.0133,0.0007,0.0007,0.0013,0.0013,0.0053,0.004,0.0087,0.0047,0.0093,0.0053,0.1187,0.1393,0.01,0.0633,0.08,0.0447
822,7.83,7.83,Scarf,Seashell Pink,Tan,Red Shades,No Hat,Toothy,0.022,0.0227,0.0067,0.0473,0.0367,0.0193,0.0067,0.0373,0.0247,0.0093,0.048,0.032,0.0213,0.0113,0.0533,0.1853,0.1393,0.118,0.1553,0.0687,0.3147
822,8.99,8.99,Scarf,Seashell Pink,Tan,Red Shades,No Hat,Toothy,0.022,0.0227,0.0067,0.0473,0.0367,0.0193,0.0067,0.0373,0.0247,0.0093,0.048,0.032,0.0213,0.0113,0.0533,0.1853,0.1393,0.118,0.1553,0.0687,0.3147
822,8.49,8.49,Scarf,Seashell Pink,Tan,Red Shades,No Hat,Toothy,0.022,0.0227,0.0067,0.0473,0.0367,0.0193,0.0067,0.0373,0.0247,0.0093,0.048,0.032,0.0213,0.0113,0.0533,0.1853,0.1393,0.118,0.1553,0.0687,0.3147
822,3.73,3.73,Scarf,Seashell Pink,Tan,Red Shades,No Hat,Toothy,0.022,0.0227,0.0067,0.0473,0.0367,0.0193,0.0067,0.0373,0.0247,0.0093,0.048,0.032,0.0213,0.0113,0.0533,0.1853,0.1393,0.118,0.1553,0.0687,0.3147
822,4.05,4.05,Scarf,Seashell Pink,Tan,Red Shades,No Hat,Toothy,0.022,0.0227,0.0067,0.0473,0.0367,0.0193,0.0067,0.0373,0.0247,0.0093,0.048,0.032,0.0213,0.0113,0.0533,0.1853,0.1393,0.118,0.1553,0.0687,0.3147
1437,7.83,7.83,Gold Chain,Lavender Dusk Purple,Chocolate,Normal,Cowboy,Happy,0.0093,0.0067,0.0233,0.0087,0.0147,0.0047,0.0353,0.0073,0.0213,0.0113,0.0033,0.01,0.0167,0.0553,0.0127,0.226,0.09,0.1187,0.0433,0.2567,0.058
1437,8.05,8.05,Gold Chain,Lavender Dusk Purple,Chocolate,Normal,Cowboy,Happy,0.0093,0.0067,0.0233,0.0087,0.0147,0.0047,0.0353,0.0073,0.0213,0.0113,0.0033,0.01,0.0167,0.0553,0.0127,0.226,0.09,0.1187,0.0433,0.2567,0.058
